Publication	SRA sample ID	SRA run ID(s)	Library layout	Age category	Age	Technology	BAM URLs	Origin of sample	Tissue preservation method	Phenotype
Singh 2023	SRS16347198	SRR22963911	PAIRED	unknown	unknown	10XV2	NA	postmortem from donor	fresh	Baboon36506A
Singh 2023	SRS16347196	SRR22963915	PAIRED	unknown	unknown	10XV2	NA	postmortem from donor	fresh	Baboon36506B
Singh 2023	SRS16347197	SRR22963912	PAIRED	unknown	unknown	10XV2	NA	postmortem from donor	fresh	Baboon37979
